Year,Round,TrackID,DriverID,TeamID,DriverTeamID,QualifyingPosition,ChampionshipStanding,ChampionshipPoints,Points,RecentFormPoints,RecentQualiPos,RecentFinishPos,FinishingPosition
2023,6,Monaco,RUS,Mercedes,RUS_Mercedes,8.0,6.0,40.0,10.0,7.0,5.6,8.2,5
2023,6,Monaco,LEC,Ferrari,LEC_Ferrari,6.0,7.0,34.0,8.0,5.4,6.0,11.2,6
2023,6,Monaco,GAS,Alpine,GAS_Alpine,7.0,10.0,8.0,6.0,1.6,12.0,10.6,7
2023,6,Monaco,SAI,Ferrari,SAI_Ferrari,4.0,5.0,44.0,4.0,8.0,4.0,6.4,8
2023,6,Monaco,NOR,McLaren,NOR_McLaren,10.0,9.0,10.0,2.0,2.0,13.2,13.2,9
2023,6,Monaco,PIA,McLaren,PIA_McLaren,11.0,14.0,4.0,1.0,0.8,14.2,14.6,10
2023,6,Monaco,BOT,Alfa Romeo,BOT_Alfa Romeo,15.0,13.0,4.0,0.0,0.8,13.6,13.6,11
2023,6,Monaco,DEV,AlphaTauri,DEV_AlphaTauri,12.0,20.0,0.0,0.0,0.0,17.0,16.2,12
2023,6,Monaco,ZHO,Alfa Romeo,ZHO_Alfa Romeo,19.0,15.0,2.0,0.0,0.4,14.0,14.6,13
2023,6,Monaco,ALB,Williams,ALB_Williams,13.0,18.0,1.0,0.0,0.2,12.6,14.8,14
2023,6,Monaco,TSU,AlphaTauri,TSU_AlphaTauri,9.0,16.0,2.0,0.0,0.4,13.4,10.6,15
2023,6,Monaco,PER,Red Bull Racing,PER_Red Bull Racing,20.0,2.0,105.0,0.0,19.4,5.4,2.2,16
2023,6,Monaco,HUL,Haas F1 Team,HUL_Haas F1 Team,18.0,11.0,6.0,0.0,1.2,12.4,13.2,17
2023,6,Monaco,SAR,Williams,SAR_Williams,16.0,19.0,0.0,0.0,0.0,17.6,16.0,18
2023,6,Monaco,MAG,Haas F1 Team,MAG_Haas F1 Team,17.0,17.0,2.0,0.0,0.4,12.8,12.6,19
2023,6,Monaco,STR,Aston Martin,STR_Aston Martin,14.0,8.0,27.0,0.0,5.2,9.2,9.8,20
2023,7,Barcelona,VER,Red Bull Racing,VER_Red Bull Racing,1.0,1.0,144.0,26.0,22.6,5.6,1.4,1
